sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit
28-07-2025 - DE - Barilla - Creative 1,MV25-64 - Adset 1,120230432606780235,120230432605770235,2025-07-29,18,8,44.44,11.11,4.6183,16,2,94.88,9.0,4.38
28-07-2025 - DE - Barilla - Creative 2,MV25-64 - Adset 1,120230432607220235,120230432605780235,2025-07-29,14,8,57.14,0.0,6.03,11,0,-100.0,0.0,-6.03
28-07-2025 - DE - Barilla - Creative 4,MV25-64 - Adset 1,120230432605990235,120230432605820235,2025-07-29,13,8,61.54,0.0,4.67,10,0,-100.0,0.0,-4.67
28-07-2025 - DE - Lenor - Reviews 2 - Creative 1,Adset #1,120232069203610596,120232069202510596,2025-07-29,9,5,55.56,11.11,4.26,9,1,5.63,4.5,0.24
28-07-2025 - DE - Lenor - Reviews 2 - Creative 2,Adset #1,120232069203450596,120232069202530596,2025-07-29,4,4,100.0,0.0,5.89,4,0,-100.0,0.0,-5.89
28-07-2025 - DE - Lenor - Reviews 2 - Creative 3,Adset #1,120232069203060596,120232069202580596,2025-07-29,8,6,75.0,0.0,6.42,7,0,-100.0,0.0,-6.42
28-07-2025 - DE - Rituals - Creative 1,25-64 - Adset 1,120231063610120045,120231063609690045,2025-07-29,8,2,25.0,0.0,5.38,7,0,-100.0,0.0,-5.38
28-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 1,120231063610300045,120231063610390045,2025-07-29,10,4,40.0,0.0,4.51,9,0,-100.0,0.0,-4.51
28-07-2025 - DE - Rituals - Creative 3,25-64 - Adset 1,120231063609870045,120231063610380045,2025-07-29,4,3,75.0,0.0,4.55,4,0,-100.0,0.0,-4.55
28-07-2025 - DE - Rituals - Creative 4,25-64 - Adset 1,120231063611210045,120231063611050045,2025-07-29,15,5,33.33,20.0,4.81,13,3,168.19,12.9,8.09
28-07-2025 - DE - Rituals - Creative 5,25-64 - Adset 1,120231063610880045,120231063610370045,2025-07-29,10,7,70.0,20.0,5.66,10,2,51.94,8.6,2.94
28-07-2025 - DE - Xiaomi - Reviews - Clicks - Creative 1,Adset 1,120232944936880679,120232944936870679,2025-07-29,11,4,36.36,0.0,0.93,10,0,-100.0,0.0,-0.93
28-07-2025 - DE - Xiaomi - Reviews - Clicks - Creative 2,Adset 1,120232945267020679,120232945266580679,2025-07-29,9,3,33.33,0.0,0.8,9,0,-100.0,0.0,-0.8
28-07-2025 - DE - Xiaomi - Reviews - Clicks - Creative 3,Adset 1,120232945266750679,120232945266850679,2025-07-29,20,6,30.0,0.0,1.09,15,0,-100.0,0.0,-1.09
28-07-2025 - DE - Xiaomi - Reviews - Clicks - Creative 4,Adset 1,120232945266950679,120232945266860679,2025-07-29,6,2,33.33,0.0,0.93,6,0,-100.0,0.0,-0.93
28-07-2025 - DE - Xiaomi - Reviews - Clicks - Creative 5,Adset 1,120232945266640679,120232945266870679,2025-07-29,12,3,25.0,0.0,1.21,11,0,-100.0,0.0,-1.21
30-06-2025 - DE - Action - Creative 2,Adset #5,120236333193650386,120236333104640386,2025-07-29,129,66,51.16,5.43,38.15,106,7,-21.1,30.1,-8.05
30-06-2025 - DE - Action - Creative 3,Adset #1,120236333238630386,120236333234510386,2025-07-29,124,74,59.68,5.65,39.86,112,7,-24.49,30.1,-9.76
