sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority,urgent,action_needed,potential_impact
25-07-2025 - DE - Xiaomi - Man - Creative 3,MV25-64 - Adset 4,120232531603680679,120232531603630679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753617431000,1.37,4.3,2.93,1,1,1,213.87,1,100,100,3.1386838403767587,0.9999990000010001,2.1386845703032336,-1,INCRESE BUDGET,Outlier with high ROI - monitor for scaling,2,True,True,293.00190000000003
25-07-2025 - US - Aldi - Creative 4,MV25-64 - Adset 5,120229247264480075,120229247264690075,Facebook.com - Sweeps - SOI - Aldi - Tester - US - UA64 - BM1 - Acc 3,391,1753623958000,0.5933,3.41,2.81,1,1,1,473.91,1,100,100,5.747504217926482,0.9999990000010001,4.736213153188684,-1,INCRESE BUDGET,Outlier with high ROI - monitor for scaling,2,True,True,281.17080300000003
26-07-2025 - DE - Lenor - Reviews 2 - Creative 4,Adset #2,120231900346500596,120231900357740596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753605353000,1.79,4.5,2.71,1,1,1,151.4,1,100,100,2.5139650759971643,0.9999990000010001,1.5139656346560701,-1,INCRESE BUDGET,Outlier with high ROI - monitor for scaling,2,True,True,271.00600000000003
23-07-2025 - DE - Rituals - Woman - Creative 4,Adset #4,120230627283350045,120230627409580045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753571239000,2.04,4.3,2.26,1,1,1,110.78,1,100,100,2.1078421039989683,0.9999990000010001,1.1078425941948065,-1,INCRESE BUDGET,Outlier with high ROI - monitor for scaling,2,True,True,225.9912
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #4,120231939970540400,120231940045730400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,1753624147000,0.13,1.87,1.74,1,1,1,1340.66,1,100,100,14.384504734578965,0.9999990000010001,13.384512426827484,-1,INCRESE BUDGET,Outlier with high ROI - monitor for scaling,2,True,True,174.28580000000002
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #5,120231939970540400,120231940067790400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,1753618695000,0.1514,1.87,1.72,1,1,1,1136.79,1,100,100,12.351305473543768,0.9999990000010001,11.360559045184642,-1,INCRESE BUDGET,Outlier with high ROI - monitor for scaling,2,True,True,172.110006
26-07-2025 - DE - Lenor - Reviews 2 - Creative 2,Adset #3,120231899452660596,120231899705380596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753601110000,1.66,0.0,-1.66,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999993975907244,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,166.0
25-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 4,120230831546810045,120230831545980045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753529501000,1.6533,0.0,-1.65,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9980033883727162,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,165.33
26-07-2025 - DE - Lenor - Review - Creative 2,Adset #5,120231892943090596,120231893129880596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753618298000,1.63,0.0,-1.63,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999993865034439,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,163.0
25-07-2025 - DE - Gillette - Creative 3,MV25-64 - Adset 5,120228987231040368,120228987231490368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753593850000,1.4575,0.0,-1.46,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0017145785834796,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,145.75
