sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority
25-07-2025 - DE - Rituals - Creative 4,25-64 - Adset 1,120230831546100045,120230831546230045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753538913000,0.0,4.3,4.3,1,1,1,0.0,1,100,100.0,4300000.0,0.9999990000010001,4300000.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Xiaomi - Man - Creative 4,MV25-64 - Adset 5,120232532219850679,120232532220550679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753538713000,0.0,4.3,4.3,1,1,1,0.0,1,100,100.0,4300000.0,0.9999990000010001,4300000.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 5,120230831546810045,120230831546010045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753538564000,0.0,4.3,4.3,1,1,1,0.0,1,100,100.0,4300000.0,0.9999990000010001,4300000.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - UK - Lenor - Woman - Creative 5,Adset #3,120231940484510400,120231940516870400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,1753538500000,0.0,1.87,1.87,1,1,1,0.0,1,100,100.0,1870000.0000000002,0.9999990000010001,1870000.0000000002,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Barilla - Creative 2,MV25-64 - Adset 4,120230191643550235,120230191644760235,Facebook.com - Sweeps - SOI - Barilla - DE - UA49 - BM1 - Acc 3,443,1753538472000,0.0,4.5,4.5,1,1,1,0.0,1,100,100.0,4500000.0,0.9999990000010001,4500000.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Xiaomi - Man - Creative 3,MV25-64 - Adset 3,120232531603680679,120232531603480679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753537272000,0.4317,0.0,-0.43,1,0,0,-100.0,1,0,100.0,0.0,0.0,-0.9960597728520435,-1,PAUSE,Outlier with poor performance - pause campaign,1
24-07-2025 - DE - Gillette - Man - Creative 1,Adset #5,120228794082060368,120228794152630368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753534926000,1.5,0.0,-1.5,1,1,0,-100.0,0,0,0.0,0.0,0.0,-0.9999993333337779,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 4,120230831546810045,120230831545980045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753529501000,1.6533,0.0,-1.65,1,1,0,-100.0,1,0,100.0,0.0,0.0,-0.9980033883727162,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Rituals - Creative 5,25-64 - Adset 4,120230831545890045,120230831546120045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753529201000,5.09,0.0,-5.09,1,1,0,-100.0,0,0,0.0,0.0,0.0,-0.9999998035363844,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Gillette - Creative 4,MV25-64 - Adset 5,120228987231050368,120228987231480368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753528775000,0.8143,0.0,-0.81,1,0,0,-100.0,0,0,0.0,0.0,0.0,-0.9947181693255933,-1,PAUSE,Outlier with poor performance - pause campaign,1
