sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr
28-04-2025 - SE - Malediven - TUI - Videos - Creative 1,Adset #5,120222339834050262,120222339862650262,Facebook.com - Sweeps - SOI - Malediven - SE - UA61 - BM1 - Acc 4,409,2025-07-26 11:21:47,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
18-07-2025 - DE - Xiaomi - Creative 6,Adset #1,120229697132640210,120229697133120210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,2025-07-26 11:21:44,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
23-07-2025 - DE - Lenor - Woman - Creative 3,Adset #3,120231582789310596,120231582817620596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,2025-07-26 11:21:35,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
10-07-2025 - DE - Makita - Creative 8,Adset #4,120226718784340519,120226718909030519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,2025-07-26 11:21:11,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
26-06-2025 - DE - Action - Creative 1,Adset #1,120236134254150386,120236134255240386,Facebook.com - Sweeps - SOI - Action - DE - UA18 - BM1 - Acc 2,425,2025-07-26 11:21:08,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
23-07-2025 - DE - Xiaomi - Creative 1,Adset #4,120229974433090210,120229974499640210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,2025-07-26 11:20:47,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #5,120230366614230295,120230366680140295,Facebook.com - Sweeps - SOI - Marabou - SE - UA68 - BM1 - Acc 2,308,2025-07-26 11:20:33,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
04-07-2025 - SE - Marabou - UGC - Creative 1,Adset #4,120230366614230295,120230366654110295,Facebook.com - Sweeps - SOI - Marabou - SE - UA68 - BM1 - Acc 2,308,2025-07-26 11:20:32,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
23-07-2025 - UK - Lenor - Woman - Creative 5,Adset #3,120231940484510400,120231940516870400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,2025-07-26 11:20:24,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
23-07-2025 - DE - Makita - Man - Creative 3,Adset #3,120227403731420519,120227403775700519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,2025-07-26 11:20:06,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
07-07-2025 - US - Aldi - Creative 10,Adset #3,120227961675480075,120227961727090075,Facebook.com - Sweeps - SOI - Aldi - Tester - US - UA64 - BM1 - Acc 3,391,2025-07-26 11:20:01,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
25-07-2025 - DE - Gillette - Creative 4,MV25-64 - Adset 5,120228987231050368,120228987231480368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,2025-07-26 11:19:35,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0
25-07-2025 - DE - Gillette - Creative 3,MV25-64 - Adset 3,120228987231040368,120228987231450368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,2025-07-26 11:19:29,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
23-07-2025 - DE - Makita - Man - Creative 1,Adset #5,120227403362470519,120227403475770519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,2025-07-26 11:19:27,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
18-07-2025 - DE - Xiaomi - Creative 10,Adset #1,120229697217890210,120229697218820210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,2025-07-26 11:19:10,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
22-07-2025 - SE - Marabou - Woman - 45-55 - Creative 5,Adset #1,120231357664690295,120231357665330295,Facebook.com - Sweeps - SOI - Marabou - SE - UA68 - BM1 - Acc 2,308,2025-07-26 11:19:03,0.0,0.0,0.0,1,0,0,0.0,0,0,0.0
22-07-2025 - SE - Marabou - Woman - 35-45 - Creative 1,Adset #1,120231357224920295,120231357227450295,Facebook.com - Sweeps - SOI - Marabou - SE - UA68 - BM1 - Acc 2,308,2025-07-26 11:18:56,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
23-07-2025 - IT - Douglas - Woman - Creative 2,Adset #2,120230635990900628,120230636018250628,Facebook.com - Sweeps - SOI - Douglas - IT - UA18 - BM1 - Acc 6,406,2025-07-26 11:18:42,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
30-06-2025 - DE - Action - Creative 2,Adset #5,120236333104640386,120236333193650386,Facebook.com - Sweeps - SOI - Action - DE - UA18 - BM1 - Acc 2,425,2025-07-26 11:18:36,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
